type	chapter_no	service_no	description_de	description_fr	description_it	valid_from	valid_until
srv	3.1	3086	Kampfsport Light (ohne Körperkontakt), Personal Training, online live	Sports de combat light (sans contact physique), entraînement personnalisé, en ligne et en direct	Sport da combattimento light (senza contatto fisico), personal training, online live	2027-01-01	9998-12-31
srv	3.1	3087	Karate Light (ohne Körperkontakt), pro 1 Lektion	Karaté light (sans contact physique), par leçon	Karate light (senza contatto fisico), 1 lezione	2027-01-01	9998-12-31
srv	3.1	3088	Karate Light (ohne Körperkontakt), online live, pro 1 Lektion	Karaté light (sans contact physique), en ligne et en direct, par leçon	Karate light (senza contatto fisico), online live, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3089	Karate Light (ohne Körperkontakt), pro 1 Monat	Karaté light (sans contact physique), par mois	Karate light (senza contatto fisico), 1 mese	2027-01-01	9998-12-31
srv	3.1	3090	Karate Light (ohne Körperkontakt), online live, pro 1 Monat	Karaté light (sans contact physique), en ligne et en direct, par mois	Karate light (senza contatto fisico), online live, 1 mese	2027-01-01	9998-12-31
srv	3.1	3091	Karate Light (ohne Körperkontakt), Personal Training	Karaté light (sans contact physique), entraînement personnalisé	Karate light (senza contatto fisico), personal training	2027-01-01	9998-12-31
srv	3.1	3092	Karate Light (ohne Körperkontakt), Personal Training, online live	Karaté light (sans contact physique), entraînement personnalisé, en ligne et en direct	Karate light (senza contatto fisico), personal training, online live	2027-01-01	9998-12-31
srv	3.1	3093	Bewegungsangebote für Kinder mit Begleitung, pro 1 Lektion	Offres d’activités physiques pour enfants avec accompagnement, par leçon	Offerte di attività fisica per bambini accompagnati, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3094	Bewegungsangebote für Kinder mit Begleitung, online live, pro 1 Lektion	Offres d’activités physiques pour enfants avec accompagnement, en ligne et en direct, par leçon	Offerte di attività fisica per bambini accompagnati, online live, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3095	Bewegungsangebote für Kinder mit Begleitung, pro 1 Monat	Offres d’activités physiques pour enfants avec accompagnement, par mois	Offerte di attività fisica per bambini accompagnati, 1 mese	2027-01-01	9998-12-31
